Juego,Fecha,Jugada,N0,N1,N2,N3,N4,N5
1374,7/22/2015 9:00:00 PM,03-07-09-18-20-22,3,7,9,18,20,22
1375,7/25/2015 9:00:00 PM,04-08-21-26-27-33,4,8,21,26,27,33
1376,7/29/2015 9:00:00 PM,07-16-18-25-27-30,7,16,18,25,27,30
1378,8/5/2015 9:00:00 PM,10-12-19-24-27-31,10,12,19,24,27,31
1379,8/8/2015 9:00:00 PM,01-05-20-21-29-30,1,5,20,21,29,30
1380,8/12/2015 9:00:00 PM,06-07-14-16-20-23,6,7,14,16,20,23
1381,8/15/2015 9:00:00 PM,01-07-14-16-17-29,1,7,14,16,17,29
1382,8/19/2015 9:00:00 PM,02-15-24-26-27-30,2,15,24,26,27,30
1383,8/22/2015 9:00:00 PM,02-09-10-12-23-29,2,9,10,12,23,29
1384,8/26/2015 9:00:00 PM,03-04-13-19-22-26,3,4,13,19,22,26
1385,8/29/2015 9:00:00 PM,03-07-13-18-19-26,3,7,13,18,19,26
1386,9/2/2015 9:00:00 PM,05-06-13-17-19-31,5,6,13,17,19,31
1387,9/5/2015 9:00:00 PM,05-12-14-22-25-29,5,12,14,22,25,29
1388,9/9/2015 9:00:00 PM,05-06-17-26-31-32,5,6,17,26,31,32
1389,9/12/2015 9:00:00 PM,03-05-11-16-22-33,3,5,11,16,22,33
1390,9/16/2015 9:00:00 PM,03-04-05-15-29-30,3,4,5,15,29,30
1391,9/19/2015 9:00:00 PM,01-04-20-24-27-32,1,4,20,24,27,32
1392,9/23/2015 9:00:00 PM,10-12-19-20-25-29,10,12,19,20,25,29
1393,9/26/2015 9:00:00 PM,03-05-12-15-17-25,3,5,12,15,17,25
1394,9/30/2015 9:00:00 PM,13-27-28-30-31-33,13,27,28,30,31,33
1395,10/3/2015 9:00:00 PM,02-16-23-24-31-33,2,16,23,24,31,33
1396,10/7/2015 9:00:00 PM,09-13-21-27-30-32,9,13,21,27,30,32
1397,10/10/2015 9:00:00 PM,09-17-19-21-27-32,9,17,19,21,27,32
1398,10/14/2015 9:00:00 PM,02-11-12-19-21-33,2,11,12,19,21,33
1399,10/17/2015 9:00:00 PM,01-08-12-16-19-28,1,8,12,16,19,28
1400,10/21/2015 9:00:00 PM,13-17-18-23-24-26,13,17,18,23,24,26
1401,10/24/2015 9:00:00 PM,01-05-07-11-20-23,1,5,7,11,20,23
1402,10/28/2015 9:00:00 PM,06-14-16-24-27-33,6,14,16,24,27,33
1403,10/31/2015 9:00:00 PM,01-03-07-16-21-33,1,3,7,16,21,33
1404,11/4/2015 9:00:00 PM,01-03-14-15-19-26,1,3,14,15,19,26
1405,11/7/2015 9:00:00 PM,03-10-11-31-32-33,3,10,11,31,32,33
1406,11/11/2015 9:00:00 PM,07-13-16-23-25-30,7,13,16,23,25,30
1407,11/14/2015 9:00:00 PM,05-07-12-15-21-26,5,7,12,15,21,26
1408,11/18/2015 9:00:00 PM,01-02-13-25-27-28,1,2,13,25,27,28
1409,11/21/2015 9:00:00 PM,05-13-16-21-24-29,5,13,16,21,24,29
1410,11/25/2015 9:00:00 PM,04-05-07-09-32-33,4,5,7,9,32,33
1411,11/28/2015 9:00:00 PM,02-13-23-26-30-32,2,13,23,26,30,32
1412,12/2/2015 9:00:00 PM,06-09-14-16-30-31,6,9,14,16,30,31
1413,12/5/2015 9:00:00 PM,07-14-26-27-28-30,7,14,26,27,28,30
1414,12/9/2015 9:00:00 PM,01-07-12-24-29-32,1,7,12,24,29,32
1415,12/12/2015 9:00:00 PM,03-05-09-10-17-25,3,5,9,10,17,25
1416,12/16/2015 9:00:00 PM,03-04-11-13-17-25,3,4,11,13,17,25
1417,12/19/2015 9:00:00 PM,05-08-09-10-25-33,5,8,9,10,25,33
1418,12/23/2015 9:00:00 PM,06-12-23-24-31-32,6,12,23,24,31,32
1419,12/26/2015 9:00:00 PM,04-05-14-20-23-31,4,5,14,20,23,31
1420,12/30/2015 9:00:00 PM,03-14-15-23-25-26,3,14,15,23,25,26
1421,1/2/2016 9:00:00 PM,01-11-17-22-23-30,1,11,17,22,23,30
1422,1/6/2016 9:00:00 PM,01-11-15-16-17-33,1,11,15,16,17,33
1423,1/9/2016 9:00:00 PM,06-07-16-18-24-26,6,7,16,18,24,26
1424,1/13/2016 9:00:00 PM,05-20-23-24-25-33,5,20,23,24,25,33
1425,1/16/2016 9:00:00 PM,11-13-18-22-24-27,11,13,18,22,24,27
1426,1/20/2016 9:00:00 PM,11-15-17-20-22-29,11,15,17,20,22,29
1427,1/23/2016 9:00:00 PM,04-07-08-11-18-29,4,7,8,11,18,29
1428,1/27/2016 9:00:00 PM,02-03-07-14-15-24,2,3,7,14,15,24
1429,1/30/2016 9:00:00 PM,10-20-24-25-26-32,10,20,24,25,26,32
1430,2/3/2016 9:00:00 PM,08-11-19-21-23-33,8,11,19,21,23,33
1431,2/6/2016 9:00:00 PM,03-04-07-10-13-31,3,4,7,10,13,31
1432,2/10/2016 9:00:00 PM,08-10-18-23-28-31,8,10,18,23,28,31
1433,2/13/2016 9:00:00 PM,04-07-10-20-29-31,4,7,10,20,29,31
1434,2/17/2016 9:00:00 PM,04-05-16-21-27-31,4,5,16,21,27,31
1435,2/20/2016 9:00:00 PM,03-06-15-23-25-26,3,6,15,23,25,26
1436,2/24/2016 9:00:00 PM,01-05-11-15-23-28,1,5,11,15,23,28
1437,2/27/2016 9:00:00 PM,08-10-19-23-24-29,8,10,19,23,24,29
1438,3/2/2016 9:00:00 PM,02-05-08-20-28-33,2,5,8,20,28,33
1439,3/5/2016 9:00:00 PM,06-15-19-20-27-30,6,15,19,20,27,30
1440,3/9/2016 9:00:00 PM,03-09-15-20-26-27,3,9,15,20,26,27
1441,3/12/2016 9:00:00 PM,07-08-11-23-26-33,7,8,11,23,26,33
1442,3/16/2016 9:00:00 PM,04-06-07-09-30-33,4,6,7,9,30,33
1443,3/19/2016 9:00:00 PM,03-05-15-17-20-22,3,5,15,17,20,22
1444,3/23/2016 9:00:00 PM,10-12-13-21-29-32,10,12,13,21,29,32
1445,3/26/2016 9:00:00 PM,03-05-12-14-17-18,3,5,12,14,17,18
1446,3/30/2016 9:00:00 PM,13-16-22-24-25-28,13,16,22,24,25,28
1447,4/2/2016 9:00:00 PM,11-14-16-18-22-33,11,14,16,18,22,33
1448,4/6/2016 9:00:00 PM,10-12-14-19-28-30,10,12,14,19,28,30
1449,4/9/2016 9:00:00 PM,06-10-16-23-26-33,6,10,16,23,26,33
1450,4/13/2016 9:00:00 PM,09-20-23-24-26-33,9,20,23,24,26,33
1451,4/16/2016 9:00:00 PM,02-08-18-20-28-33,2,8,18,20,28,33
